3822 :	навага 
3825 :	обливка 
3826 :	облава 
3833 :	шалава 
3834 :	десятирублёвка 
3837 :	канава 
3845 :	недоставка 
3848 :	реприза 
3850 :	паскуда 
3851 :	запивка 
3852 :	катахреза 
3854 :	доливка 
3860 :	дурында 
3864 :	высевка 
3865 :	поливка 
3867 :	булава 
3871 :	прокуда 
3876 :	отливка 
3877 :	отвага 
3902 :	малага автолавка 
3907 :	салага 
3912 :	купава 
3913 :	оправа 
3916 :	справа октава левада костоеда 
3918 :	управа 
3920 :	шлёнда 
3921 :	пеламида 
3922 :	отрава агитбригада 
3923 :	переправа мурава 
3925 :	кавалькада 
3927 :	выпивка 
3930 :	расплавка сеноставка 
3932 :	зашивка 
3937 :	жидовка 
3938 :	нашивка 
3942 :	обшивка 
3950 :	синагога проплавка 
3954 :	донага 
3955 :	ватага 
3957 :	кулага бумага 
3964 :	сулага 
3968 :	заковка 
3970 :	пуговка 
3973 :	маковка 
3974 :	наковка 
3975 :	пирамида шпаклёвка фуговка 
3976 :	паковка 
3979 :	ореада 
3980 :	югославка фотовыставка ножовка 
3981 :	декада 
3982 :	пошивка 
3985 :	псевдоморфоза гужовка 
3986 :	запруда коробка 
3989 :	правда 
3990 :	разжелобка 
3993 :	нажива отшивка вузовка 
3996 :	кваква дриада 
3998 :	тамада 
4000 :	пиковка 
4002 :	курага 
4003 :	синева 
4008 :	цикада вышивка 
4009 :	непоседа 
4010 :	триада аркада 
4012 :	служба 
4014 :	дружба 
4016 :	мордва менада рядовка 
4020 :	рокада 
4021 :	альпака 
4024 :	смлада 
4028 :	армада 
4032 :	засада 
4034 :	гонада 
4036 :	фарада 
4037 :	пожива помада 
4039 :	ограда 
4040 :	шарада 
4041 :	услада 
4042 :	лебеда 
4043 :	монада 
4044 :	рулада 
4049 :	жадоба 
4051 :	всегда 
4052 :	мочага 
4056 :	кривда 
4058 :	телега тирада 
4060 :	просьба 
4061 :	бой-баба каверза 
4064 :	маёвка 
4066 :	пастьба 
4068 :	бечева 
4069 :	голубка 
4071 :	досада 
4073 :	победа 
4074 :	огорожа 
4076 :	зарубка 
4082 :	полива нарубка 
4084 :	отрада вражда 
4086 :	обрубка 
4087 :	эспада страда 
4095 :	днёвка 
4096 :	визига госпожа 
4101 :	резеда 
4103 :	хурда-мурда 
4105 :	одежда 
4109 :	шлёвка 
4110 :	бразда 
4112 :	жалоба 
4113 :	кошева переупаковка 
4116 :	калига 
4119 :	звезда 
4121 :	худоба тетива 
4122 :	сторожа 
4123 :	экспертиза 
4126 :	иногда порубка 
4127 :	пломба 
4133 :	меледа пионербаза 
4141 :	амилоза 
4142 :	нате-ка 
4144 :	выжига 
4145 :	прапрабабка 
